archive_id,filename,thematic_family,phase1_status,phase2_candidate_state,confidence,reason,derived_from,human_gate,final_state,approval_basis,canon_role,canon_reason
DVV-VIS-0011,a_wide_cinematic_antique_illuminated_manuscript.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0012,a_wide_cinematic_black_dark_parchment_style_infogr.png,06_MOTION_MASTER_LANGUAGE,AESTHETIC_DRIFT,NEGATIVE_EVIDENCE_CANDIDATE,medium,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted",,REQUIRED,NEGATIVE_CANON,HUMAN_CONFIRMED_NEGATIVE_2026-09-20,,
DVV-VIS-0013,a_wide_cinematic_collage_moodboard_graphic_in_a_da.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0014,a_wide_cinematic_collage_poster_image_dark_gothic.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0015,a_wide_cinematic_collage_style_graphic_design_mo.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0016,a_wide_cinematic_composite_graphic_poster_made_of.png,06_MOTION_MASTER_LANGUAGE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0017,a_wide_cinematic_composite_infographic_image_made.png,06_MOTION_MASTER_LANGUAGE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0018,a_wide_cinematic_composite_poster_infographic_in_a.png,06_MOTION_MASTER_LANGUAGE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0019,a_wide_cinematic_dark_academy_infographic_poster.png,06_MOTION_MASTER_LANGUAGE,AESTHETIC_DRIFT,NEGATIVE_EVIDENCE_CANDIDATE,medium,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted",,REQUIRED,NEGATIVE_CANON,HUMAN_CONFIRMED_NEGATIVE_2026-09-20,,
DVV-VIS-0020,a_wide_cinematic_dark_editorial_infographic_post.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0021,a_wide_cinematic_dark_editorial_moodboard_compos.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0022,a_wide_cinematic_dark_graphic_design_board_colla.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0023,a_wide_cinematic_dark_richly_detailed_infograph.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0024,a_wide_cinematic_editorial_collage_image_with_fiv.png,06_MOTION_MASTER_LANGUAGE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0025,a_wide_cinematic_high_contrast_editorial_collage.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0026,a_wide_cinematic_high_detail_brand_styleboard_mo.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0027,a_wide_cinematic_high_detail_concept_board_colla.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0028,a_wide_cinematic_high_detail_infographic_collage.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0029,a_wide_cinematic_high_resolution_dark_fantasy_sc.png,06_MOTION_MASTER_LANGUAGE,AESTHETIC_DRIFT,NEGATIVE_EVIDENCE_CANDIDATE,medium,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted",,REQUIRED,NEGATIVE_CANON,HUMAN_CONFIRMED_NEGATIVE_2026-09-20,,
DVV-VIS-0030,a_wide_cinematic_infographic_poster_dark_and_orna.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0031,a_wide_cinematic_parchment_and_black_scientific.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0032,a_wide_cinematic_poster_style_ui_ux_moodboard_im.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0033,a_wide_clean_high_resolution_conceptual_design_m.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0034,a_wide_composite_design_board_image_a_grid_of_fiv.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0035,a_wide_composite_image_grid_of_five_vertical_panel.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0036,a_wide_composite_image_showing_five_vertical_mood.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0037,a_wide_composite_image_showing_five_vertical_ui_br.png,05_DIGITAL_WEB_MOBILE_UI,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0038,a_wide_composite_layout_poster_grid_of_five_vertic.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0039,a_wide_dark_cinematic_infographic_collage_in_a_g.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0040,a_wide_dark_cinematic_moodboard_infographic_layo.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0041,a_wide_dark_cinematic_multi_panel_ui_branding_mo.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0042,a_wide_dark_editorial_moodboard_ui_concept_poste.png,05_DIGITAL_WEB_MOBILE_UI,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0043,a_wide_detailed_editorial_moodboard_design_syst.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0044,a_wide_detailed_graphic_design_moodboard_concep.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0045,a_wide_detailed_high_resolution_dark_editorial_c.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,EXPERIMENT,APPROVED_SUPPORT_EVIDENCE,medium,conversation screenshot indicates positive human response; exact preference relationship still needs reconciliation,,EVIDENCED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0046,a_wide_high_detail_cinematic_editorial_poster_s.png,06_MOTION_MASTER_LANGUAGE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0047,a_wide_high_resolution_collage_board_layout_of_fi.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,COMPOSITE_FAILURE,NEGATIVE_CANON,high,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite,,EVIDENCED,NEGATIVE_CANON,EVIDENCED_NEGATIVE,,
DVV-VIS-0048,a_wide_high_resolution_dark_design_presentation_b.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0049,a_wide_high_resolution_dark_moodboard_collage_lay.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0050,a_wide_high_resolution_dark_ui_moodboard_poster_f.png,05_DIGITAL_WEB_MOBILE_UI,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0051,a_wide_high_resolution_dark_ui_portfolio_moodboa.png,05_DIGITAL_WEB_MOBILE_UI,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0052,a_wide_highly_detailed_editorial_brand_board_coll.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0053,a_wide_multi_panel_poster_moodboard_collage_cin.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0054,a_wide_multi_panel_ui_branding_moodboard_image_d.png,05_DIGITAL_WEB_MOBILE_UI,EXPERIMENT,PENDING_HUMAN_REVIEW,medium,experimental/auto-named output; approval cannot be inferred safely,,REQUIRED,EXPERIMENT,HUMAN_APPROVED_AS_EXPERIMENT_2026-09-20,,
DVV-VIS-0055,anatomía_onírica_cuerpo_y_oráculo.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0056,anatomía_onírica_de_divinivid.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0057,anatomía_onírica_del_umbral.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0058,anatomía_onírica_el_santuario_interior.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0059,anatomía_onírica_en_mármol_y_carmesí.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0060,anatomía_onírica_entre_mundos.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0061,anatomía_onírica_formas_superiores.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0062,anatomía_onírica_revelación_oscura.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0063,archivo_bs_07_el_tejido_liminal.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0064,archivo_cósmico_divinivid.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0065,archivo_del_bestiario_onírico.png,03_BESTIARY_AND_ENTITIES,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0066,archivo_divinivid_fragmento_carmesí.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0067,arquitectura_de_realidades_cósmicas.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0068,atlas_alquímico_de_vasos_especimenales.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0069,atlas_anatómico_onírico_cuerpo_y_umbral.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0070,atlas_anatómico_onírico_en_oro_y_marfil.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0071,atlas_celeste_de_entidades_luminosas.png,03_BESTIARY_AND_ENTITIES,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0072,atlas_cinemático_de_capas_y_revelaciones.png,06_MOTION_MASTER_LANGUAGE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0073,atlas_cinemático_de_datos_vivos.png,06_MOTION_MASTER_LANGUAGE,UNASSESSED,APPROVED_SUPPORT_EVIDENCE,high,explicitly accepted corrected Motion 21–25 round,,EVIDENCED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0074,atlas_codex_de_materia_y_símbolo.png,07_EDITORIAL_TYPOGRAPHY_INFORMATION,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0075,atlas_cósmico_de_célula_a_luna_roja.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,CANON,HUMAN_APPROVED_SUPPORT_PLUS_CANON_SELECTION_2026-09-20,TRANSFORMATIVE_STRUCTURE,Cell-to-red-moon transformation logic
DVV-VIS-0076,atlas_cósmico_de_hueso_y_fractura.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0077,atlas_cósmico_del_tuétano_al_mundo.png,02_ANATOMY_SPECIMENS_TRANSFORMATIONS,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0078,atlas_de_abismos_carnívoros.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0079,atlas_de_ciudades_topológicas_imposibles.png,04_ENVIRONMENTS_AND_IMPOSSIBLE_GEOMETRY,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0080,atlas_de_estados_de_transformación_divinivid.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0081,atlas_de_la_materia_invisible.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
DVV-VIS-0082,atlas_de_lo_invisible.png,01_CORE_IDENTITY_AND_VISUAL_UNIVERSE,UNASSESSED,APPROVED_SUPPORT_CANDIDATE,medium,descriptive working-corpus output from approved visual-universe process; exact per-file approval linkage still requires reconciliation,,REQUIRED,APPROVED_SUPPORT,HUMAN_APPROVED_2026-09-20,,
